account,URL,type,field
BertelsmannSt,http://twitter.com/BertelsmannSt,2,E
Ayto_Marbella,http://twitter.com/Ayto_Marbella,2,A
Ayt_DosHermanas,http://twitter.com/Ayt_DosHermanas,2,A
TMB_Barcelona,http://twitter.com/TMB_Barcelona,2,A
CEUAndalucia,http://twitter.com/CEUAndalucia,2,E
FundEduardSoler,http://twitter.com/FundEduardSoler,2,E
montse_milan,http://twitter.com/montse_milan,1,C
estellaacosta5,http://twitter.com/estellaacosta5,1,D
SalesianosMLG,http://twitter.com/SalesianosMLG,2,C
tonirecio,http://twitter.com/tonirecio,1,B
Interconexiona,http://twitter.com/Interconexiona,2,F
JosepMPique,http://twitter.com/JosepMPique,1,B
lugaricano,http://twitter.com/lugaricano,1,C
clubantares_,http://twitter.com/clubantares_,2,B
cifupresidenta,http://twitter.com/cifupresidenta,2,F
ViveroCarabanch,http://twitter.com/ViveroCarabanch,2,A
APeavera,http://twitter.com/APeavera,2,C
MarcialMarin,http://twitter.com/MarcialMarin,1,A
Alonso10Tomas,http://twitter.com/Alonso10Tomas,1,C
esBritish,http://twitter.com/esBritish,2,C
CET_Center,http://twitter.com/CET_Center,2,C
Zesnaola,http://twitter.com/Zesnaola,1,C
albertofabra,http://twitter.com/albertofabra,1,A
GIPHY,http://twitter.com/GIPHY,2,F
patriperal,http://twitter.com/patriperal,1,D
SelenneMoon,http://twitter.com/SelenneMoon,1,C
angeldp,http://twitter.com/angeldp,1,C
AFEMCUAL,http://twitter.com/AFEMCUAL,2,E
aec_es,http://twitter.com/aec_es,2,E
uvic_cp,http://twitter.com/uvic_cp,2,C
EdPolicyReview,http://twitter.com/EdPolicyReview,2,F
prendizext,http://twitter.com/prendizext,2,A
Riojaforum,http://twitter.com/Riojaforum,2,A
KREASFP,http://twitter.com/KREASFP,2,E
Nb_Barniol,http://twitter.com/Nb_Barniol,1,C
SaucedoSilv,http://twitter.com/SaucedoSilv,1,F
Tikci,http://twitter.com/Tikci,2,C
france_espagne,http://twitter.com/france_espagne,2,A
haraldsteffen,http://twitter.com/haraldsteffen,DESC,DESC
lescalanteleno,http://twitter.com/lescalanteleno,1,B
EduardPalleja,http://twitter.com/EduardPalleja,1,E
somosfpdual,http://twitter.com/somosfpdual,DESC,DESC
FP_Dual,http://twitter.com/FP_Dual,DESC,DESC
MaraPrezAlonso,http://twitter.com/MaraPrezAlonso,DESC,DESC
JesuitesEdu,http://twitter.com/JesuitesEdu,2,C
MediadorSeguros,http://twitter.com/MediadorSeguros,2,D
raulmatres,http://twitter.com/raulmatres,1,C
SKBF_nat,http://twitter.com/SKBF_nat,2,C
