Date	Value	Type
30-11-2012	1406	Normativas
30-04-2013	1051	Normativas
30-04-2015	1146	Noticias de prensa
28-02-2016	1497	Eventos de fundaciones\ny otros acontecimientos
31-10-2016	1164	Eventos de fundaciones
31-01-2017	1280	Eventos de fundaciones\ny otros acontecimientos
31-05-2017	1326	Eventos de fundaciones\ny otros acontecimientos
30-11-2017	1425	Eventos de fundaciones\ny otros acontecimientos
30-06-2018	1348	Eventos de fundaciones\ny otros acontecimientos
31-10-2018	1353	Eventos de fundaciones
30-06-2019	1469	Eventos de fundaciones\ny otros acontecimientos
30-11-2019	1449	Eventos de fundaciones\ny otros acontecimientos
